iter	Passed	Remaining
0	0	87
1	1	83
2	2	82
3	3	76
4	3	75
5	4	73
6	5	71
7	6	69
8	6	67
9	7	65
10	7	64
11	8	62
12	9	61
13	9	60
14	10	59
15	11	58
16	11	57
17	12	57
18	13	56
19	13	55
20	14	54
21	15	53
22	15	52
23	16	51
24	16	50
25	17	50
26	18	49
27	18	48
28	19	48
29	20	47
30	21	46
31	21	45
32	22	45
33	22	44
34	23	43
35	24	42
36	24	42
37	25	41
38	26	40
39	26	40
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	35	31
53	35	30
54	36	29
55	36	28
56	37	28
57	38	27
58	38	26
59	39	26
60	40	25
61	40	24
62	41	24
63	42	23
64	42	23
65	43	22
66	44	21
67	44	21
68	45	20
69	46	19
70	46	19
71	47	18
72	48	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	60	4
93	61	3
94	62	3
95	63	2
96	63	1
97	64	1
98	65	0
99	65	0
